customer_id,first_name,last_name,email,phone,signup_date,country,age,income,loyalty_points
47.0,Frank,smith,frank.smith@example.com,,2020-09-27,U.S.,thirty,$81017,
48.0,Jack,GARCIA,jack.garcia@gmail.com,7817286693,08-26-2021,france,21,N/A,2711
,Paul, Hernandez ,paul.hernandez@yahoo.com,,"Nov 10, 2019",Germany,-5,N/A,points
50.0,IVY,hernandez,ivy.hernandez@gmail.com,+1-228-391-8909,2023-04-19,Germany,-5,,N/A
51.0,quinn,JONES,quinn.jones@yahoo.com,2758800891,03-24-2019,Germany,,101172,
52.0,Eve,WILLIAMS,eve.williams@example.com,(473) 445-2543,2019-12-04,CA,unknown,N/A,3648
, mike ,Young,mike.young@example.com,,06/06/2017,france,unknown,N/A,4052
54.0,sam,allen,sam.allen@mail.com,(107) 275-6324,"Sep 10, 2022",United Kingdom,unknown,76957,
,SAM,Davis,sam.davis@gmail.com,+1-556-491-5845,04-14-2024,Germany,thirty,$33447,N/A
56.0,Grace,MARTIN,grace.martin@hotmail.com,,02-12-2024,United States,-5,$70620,N/A
57.0, Eve ,Rodriguez,eve.rodriguez@yahoo.com,+1-515-893-9818,2016-01-23,United States,40,,
,Jack, Allen ,jack.allen@yahoo.com,+1-344-150-5011,11-04-2024,france,,$25579,points
59.0,rita,Young,rita.young@example.com,9348242228,"Apr 20, 2017",CA,-5,,points
,Alice,WALKER,alice.walker@hotmail.com,,2019-09-14,England,59,$42898,points
, Bob ,Smith,bob.smith@mail.com,(933) 629-2423,"Jan 05, 2019",UK,thirty,$92535,
62.0,Charlie,Wilson,charlie.wilson@yahoo.com,9354665519,10-14-2015,UK,46,N/A,points
63.0,Eve,BROWN,eve.brown@hotmail.com,6408502256,"Jul 19, 2015",England,thirty,$60012,
64.0,charlie,Smith,charlie.smith@gmail.com,+1-990-459-3932,07-18-2022,USA,-5,,
,jack,YOUNG,jackyoung@mailcom,+1-663-852-8389,13/06/2022,United States,unknown,N/A,points
66.0,hank,Clark,hank.clark@gmail.com,,2022-10-10,Germany,35,$37480,N/A
67.0,Nancy,Davis,nancydavis@mailcom,(985) 943-9715,16/03/2025,CA,41,,points
68.0,Eve,clark,eve.clark@yahoo.com,7751112284,2021-05-24,Australia,unknown,N/A,points
69.0,Nancy,hall,nancy.hall@yahoo.com,,11/07/2022,France,-5,$72825,3560
70.0,Karen,Hernandez,karenhernandez@gmailcom,2001809378,"Feb 28, 2019",U.S.,58,,points
, Alice ,Smith,alice.smith@example.com,(580) 412-5009,22/05/2024,England,thirty,N/A,points
72.0,rita,SMITH,rita.smith@yahoo.com,9883250002,13/01/2020,UK,26,$104663,points
73.0,Ivy,Garcia,ivy.garcia@yahoo.com,,"Sep 15, 2022",England,52,115926,3727
74.0,eve, Jones ,eve.jones@example.com,,2022-02-11,australia,-5,94188,N/A
75.0, Ivy ,LEE,ivy.lee@gmail.com,(751) 463-1381,2017-12-27,Germany,-5,70684,2238
,Grace,Jones,grace.jones@yahoo.com,8586526719,"Sep 25, 2020",England,-5,$45078,points
,diana,johnson,diana.johnson@mail.com,(409) 980-4309,"May 19, 2025",England,,N/A,N/A
,Paul, Walker ,paulwalker@mailcom,2523081455,"Oct 10, 2021",U.S.,-5,42728,1134
79.0,Oscar,Hernandez,oscarhernandez@yahoocom,,12/08/2023,France,,73986,
80.0,QUINN,Miller,quinn.miller@yahoo.com,6928827385,"Jul 25, 2025",Canada,-5,N/A,points
81.0,nancy,LEWIS,nancy.lewis@mail.com,(353) 579-4596,06-25-2019,Australia,unknown,N/A,
,Liam, martin ,liam.martin@hotmail.com,+1-621-833-9492,01-18-2016,England,-5,21366,N/A
83.0, Hank ,Johnson,hank.johnson@mail.com,+1-741-294-7211,07-28-2025,,-5,N/A,N/A
,EVE,lee,eve.lee@yahoo.com,+1-148-797-8680,26/11/2019,france,,N/A,points
85.0,MIKE,WILLIAMS,mike.williams@yahoo.com,3310698098,07/02/2020,England,-5,103788,
,ivy,SMITH,ivy.smith@example.com,,02-19-2017,Australia,unknown,N/A,points
87.0, Oscar , Lewis ,oscar.lewis@example.com,4834886512,2023-01-18,USA,-5,77503,713
88.0,bob,king,bob.king@hotmail.com,,2023-01-25,U.S.,thirty,$62490,
,Tina,lee,tina.lee@example.com,+1-234-966-2862,22/04/2015,Australia,unknown,N/A,N/A
90.0,Charlie,JOHNSON,charlie.johnson@yahoo.com,(211) 119-6781,24/12/2022,UK,-5,,
91.0,Diana,lee,diana.lee@gmail.com,+1-534-137-6731,"Oct 19, 2016",USA,,$93371,325
92.0, Eve ,Lewis,eve.lewis@gmail.com,+1-869-259-8126,2017-04-19,Australia,,39663,
93.0, Diana ,Williams,diana.williams@yahoo.com,+1-888-828-7968,2019-02-02,france,-5,N/A,
,Bob,ALLEN,bob.allen@mail.com,+1-607-578-9861,04/03/2025,United States,-5,$72893,1903
95.0,rita, Johnson ,rita.johnson@hotmail.com,1965052229,06-02-2019,United States,81,$53526,3612
96.0,Bob, Miller ,bob.miller@gmail.com,,2019-01-24,USA,-5,,N/A
,Jack, Lewis ,jack.lewis@gmail.com,+1-975-984-7583,20/12/2015,australia,,$95654,N/A
98.0, Bob , Hall ,bob.hall@yahoo.com,(611) 437-9825,10-09-2024,U.S.,22,74150,
99.0,frank,BROWN,frank.brown@yahoo.com,(844) 815-6285,13/02/2021,UK,thirty,,N/A
,Sam,smith,samsmith@hotmailcom,9197100767,30/03/2021,France,,105370,4630
,oscar,Miller,oscar.miller@yahoo.com,8611949788,2025-10-30,Australia,thirty,,points
102.0,Diana,Garcia,diana.garcia@hotmail.com,+1-449-643-1024,"Feb 10, 2023",USA,unknown,N/A,points
103.0,Bob,allen,bob.allen@hotmail.com,5503610609,30/12/2022,CA,unknown,N/A,700
,Nancy,ALLEN,nancy.allen@yahoo.com,8794035376,2020-10-15,U.S.,-5,N/A,3260
105.0,NANCY, Smith ,nancy.smith@mail.com,,"Feb 19, 2020",U.S.,thirty,N/A,points
,KAREN,allen,karen.allen@yahoo.com,5060203323,"Aug 11, 2023",United States,thirty,112817,points
107.0,hank,garcia,hank.garcia@example.com,+1-396-807-9706,11/05/2023,U.S.,83,N/A,
108.0,Nancy,Johnson,nancy.johnson@gmail.com,(824) 956-8756,"Feb 28, 2020",france,36,$25286,N/A
,Hank,WALKER,hank.walker@gmail.com,+1-414-234-7852,06-02-2021,france,thirty,$80780,N/A
,charlie,Garcia,charlie.garcia@gmail.com,9479646302,09-25-2020,United Kingdom,thirty,67472,N/A
, mike , Miller ,mike.miller@gmail.com,,2017-11-17,UK,thirty,101906,points
,Oscar,Williams,oscar.williams@gmail.com,+1-925-716-6111,01-10-2016,CA,thirty,$23052,
113.0,Bob,MILLER,bob.miller@gmail.com,6322930190,19/11/2021,England,thirty,N/A,N/A
,JACK,BROWN,jack.brown@gmail.com,+1-141-239-5230,2015-07-08,CA,,$86049,points
115.0,Charlie,Rodriguez,charlie.rodriguez@yahoo.com,,03-07-2022,United Kingdom,thirty,,2980
116.0,Sam,SMITH,sam.smith@example.com,3743973709,05-21-2024,U.S.,thirty,N/A,
117.0,Hank, Brown ,hank.brown@mail.com,(927) 547-3816,10/07/2017,U.S.,unknown,,
118.0,Charlie,Wilson,charlie.wilson@example.com,,2017-06-03,Australia,-5,$112642,points
,EVE,Hall,eve.hall@mail.com,+1-323-501-2708,16/12/2024,United States,thirty,N/A,3934
120.0,alice, Williams ,alicewilliams@examplecom,(180) 965-5418,17/06/2017,,-5,$33802,
121.0, Paul ,hernandez,paul.hernandez@gmail.com,1792385651,"Jul 14, 2021",Canada,thirty,$40010,N/A
, Frank , Lewis ,frank.lewis@hotmail.com,(438) 891-8097,"Oct 23, 2018",U.S.,unknown,$50955,
123.0,Oscar,Miller,oscar.miller@mail.com,(239) 595-7334,05-27-2017,,unknown,$79396,points
124.0,Charlie,Davis,charlie.davis@mail.com,,12-03-2017,Australia,,$68263,points
125.0,ivy, Brown ,ivy.brown@hotmail.com,(365) 150-9240,08-02-2017,Australia,thirty,92407,
126.0,Quinn,Hernandez,quinn.hernandez@mail.com,+1-287-518-9001,24/12/2015,australia,90,$31704,N/A
127.0, Eve ,WILSON,eve.wilson@gmail.com,1410616259,"May 24, 2018",USA,thirty,$113622,898
128.0, Ivy , Lee ,ivy.lee@mail.com,+1-551-602-7933,"Nov 09, 2024",USA,-5,N/A,4694
129.0,jack,hernandez,jack.hernandez@gmail.com,+1-628-650-8908,2024-10-09,Canada,thirty,N/A,
,grace,JONES,grace.jones@example.com,,02/06/2018,U.S.,70,$118807,N/A
131.0,KAREN, Lee ,karen.lee@mail.com,,2024-06-29,Canada,-5,$106152,N/A
132.0,Tina, Walker ,tina.walker@hotmail.com,,31/03/2025,France,unknown,$51530,N/A
133.0, Frank ,Young,frank.young@example.com,+1-956-304-6040,19/03/2015,France,,$84540,4437
134.0,rita,RODRIGUEZ,rita.rodriguez@gmail.com,,2023-04-04,france,30,N/A,851
135.0,Frank,Wilson,frankwilson@hotmailcom,(584) 203-6827,"Dec 12, 2023",australia,86,$41944,
136.0,GRACE,King,grace.king@example.com,+1-770-831-5759,"Dec 19, 2021",United States,-5,101171,2353
137.0, Rita ,rodriguez,rita.rodriguez@yahoo.com,6811269679,2020-05-04,Canada,thirty,89652,points
138.0,paul,Williams,paul.williams@example.com,+1-223-262-6018,2021-02-11,USA,unknown,45838,N/A
, Alice ,Brown,alice.brown@hotmail.com,9609662145,"Jan 25, 2021",England,,80632,
140.0, Paul ,KING,paul.king@hotmail.com,(314) 129-3549,"Jun 06, 2023",U.S.,thirty,,N/A
141.0,charlie, Clark ,charlie.clark@gmail.com,(553) 118-3678,"Dec 19, 2020",U.S.,unknown,$109184,points
142.0,Charlie,Young,charlie.young@yahoo.com,1801464838,2016-08-06,England,thirty,$64852,
, Eve ,Jones,evejones@gmailcom,(540) 875-5595,10/03/2016,UK,,,3060
, Sam ,Miller,sam.miller@hotmail.com,(377) 457-2326,2022-12-30,,-5,60720,N/A
145.0,DIANA,Jones,diana.jones@example.com,+1-968-983-8285,06-25-2019,Australia,78,N/A,N/A
146.0, Tina ,LEWIS,tina.lewis@hotmail.com,+1-468-675-5633,17/04/2018,United States,unknown,$111254,2041
,Mike,Lee,mike.lee@mail.com,2074323041,04-09-2023,United Kingdom,unknown,N/A,
,JACK, Garcia ,jack.garcia@yahoo.com,6086741017,"Jan 27, 2020",Germany,78,$50062,
,mike,Martin,mike.martin@example.com,+1-763-141-8438,10-27-2015,Australia,thirty,71850,points
,GRACE,ALLEN,grace.allen@hotmail.com,+1-563-780-8431,22/02/2016,U.S.,unknown,69866,N/A
151.0,karen,Johnson,karen.johnson@example.com,,"Aug 18, 2019",U.S.,thirty,N/A,90
152.0, Paul ,Young,paul.young@yahoo.com,6947565344,01-31-2021,Germany,,$34017,4284
153.0,ivy, Lewis ,ivy.lewis@yahoo.com,,05-01-2024,U.S.,unknown,$102564,points
154.0,Sam,Walker,sam.walker@hotmail.com,,16/10/2016,Canada,76,70369,
155.0,alice, Lee ,alice.lee@yahoo.com,,2021-02-09,England,33,,N/A
156.0,mike,Clark,mike.clark@example.com,,06-15-2015,France,thirty,,points
157.0,quinn,HERNANDEZ,quinn.hernandez@yahoo.com,,11-30-2020,,,25938,N/A
,Paul,hernandez,paul.hernandez@yahoo.com,(609) 769-7062,12-11-2023,CA,-5,$47923,393
159.0,Diana,young,diana.young@example.com,,05-22-2016,France,thirty,$119342,782
,Tina, martin ,tina.martin@example.com,,02/09/2021,USA,49,$93509,N/A
161.0,Mike,jones,mike.jones@example.com,7840076277,"May 09, 2022",Germany,unknown,,N/A
, Eve ,Williams,eve.williams@yahoo.com,,30/12/2023,australia,thirty,,
163.0,Mike,Hall,mike.hall@mail.com,(269) 934-3350,06/02/2017,France,-5,N/A,256
164.0,Liam,davis,liam.davis@gmail.com,(301) 367-8583,11/04/2021,australia,unknown,$55308,N/A
165.0,karen,Miller,karen.miller@example.com,+1-984-420-9506,12-29-2023,USA,unknown,$22814,30
166.0,Tina,MILLER,tina.miller@example.com,(790) 569-9694,2019-10-18,USA,57,$62075,
,EVE,King,eve.king@example.com,,05-11-2023,U.S.,,N/A,N/A
168.0, Alice ,BROWN,alice.brown@gmail.com,(735) 868-9584,18/07/2017,U.S.,-5,27716,N/A
,Paul,Lee,paullee@examplecom,,2025-07-17,USA,,81504,
,Mike,YOUNG,mike.young@example.com,9096719153,30/03/2015,australia,thirty,,N/A
171.0,diana, Walker ,diana.walker@mail.com,,22/01/2017,U.S.,,N/A,N/A
, Eve ,walker,evewalker@yahoocom,2742451841,"Nov 05, 2017",Canada,63,$57575,N/A
,Hank,JOHNSON,hank.johnson@mail.com,(705) 248-9497,28/03/2016,England,unknown,N/A,N/A
174.0,Paul,Allen,paul.allen@hotmail.com,(612) 602-3682,2024-12-06,CA,,82922,
175.0,Mike,miller,mike.miller@gmail.com,9379392483,"Mar 18, 2017",USA,49,101411,
176.0,Grace,Miller,grace.miller@gmail.com,,02-15-2019,,,$96960,N/A
177.0,rita,smith,ritasmith@hotmailcom,,07-25-2019,USA,,96122,points
,ivy, Young ,ivy.young@yahoo.com,(962) 562-7322,07/02/2016,UK,-5,44805,points
179.0,oscar,walker,oscar.walker@hotmail.com,5848810161,04/12/2023,CA,,$68979,N/A
180.0, Grace ,Hernandez,grace.hernandez@example.com,+1-714-134-6075,"Jan 08, 2021",USA,-5,$80296,points
181.0,Tina,Martin,tinamartin@mailcom,5560694262,11/06/2015,Australia,,110151,
,KAREN,Lee,karen.lee@example.com,+1-922-636-2300,"Oct 29, 2024",England,unknown,,N/A
183.0,CHARLIE,Jones,charlie.jones@yahoo.com,1342218539,21/08/2016,U.S.,,N/A,N/A
,Karen,SMITH,karen.smith@hotmail.com,(528) 623-1121,01-14-2024,Australia,unknown,,N/A
185.0, Sam ,MILLER,sam.miller@example.com,,2021-08-24,UK,,$40637,N/A
,sam,Miller,sam.miller@yahoo.com,,"Nov 18, 2016",,unknown,93949,N/A
187.0,IVY,Williams,ivy.williams@gmail.com,+1-393-332-5823,07-04-2018,U.S.,52,,
188.0,Charlie,davis,charlie.davis@mail.com,(158) 452-3804,06-29-2021,Canada,,,2137
189.0, Sam ,Garcia,samgarcia@yahoocom,6709846094,2022-08-26,USA,63,$106169,4943
190.0,BOB, Brown ,bob.brown@gmail.com,9737800810,"Jan 31, 2021",Australia,21,118003,points
191.0,karen,Williams,karen.williams@yahoo.com,,"Jul 25, 2019",United States,60,,N/A
,diana,Smith,diana.smith@mail.com,4101484711,"May 08, 2016",france,unknown,,points
193.0,Eve, Davis ,eve.davis@example.com,(121) 663-5217,"Nov 19, 2017",,-5,N/A,3006
, Ivy ,HALL,ivyhall@yahoocom,,"Apr 16, 2018",USA,28,73494,4097
195.0,Jack,Johnson,jack.johnson@example.com,(355) 546-3386,2015-01-10,Germany,16,62977,N/A
, Quinn ,BROWN,quinn.brown@example.com,3452057066,"Jan 15, 2025",France,59,N/A,N/A
197.0,frank,Davis,frank.davis@hotmail.com,,10/08/2019,France,thirty,$111995,N/A
198.0, Oscar ,LEE,oscar.lee@hotmail.com,+1-360-491-1329,2020-04-06,Australia,74,101612,
199.0, Paul ,davis,paul.davis@hotmail.com,+1-212-532-8179,2023-01-08,Germany,-5,$56731,2399
200.0,alice,Garcia,alice.garcia@example.com,(157) 660-5118,2018-08-08,Australia,58,,points
201.0,QUINN,ALLEN,quinn.allen@yahoo.com,(181) 117-4045,"Nov 11, 2018",USA,23,,4736
202.0,NANCY, Allen ,nancy.allen@example.com,(117) 271-5248,2024-05-04,United Kingdom,65,$112244,N/A
203.0,Ivy,MILLER,ivy.miller@example.com,3146046705,25/04/2023,England,thirty,113429,points
204.0, Tina , Clark ,tina.clark@gmail.com,2820647589,02-08-2016,Canada,-5,$117265,3358
205.0, Sam ,Hernandez,sam.hernandez@mail.com,(146) 163-5725,"Apr 02, 2022",Canada,82,69112,1307
,Sam, martin ,sam.martin@example.com,,23/09/2023,France,unknown,53888,
207.0,liam, martin ,liam.martin@yahoo.com,+1-410-158-1029,"Aug 14, 2015",United States,-5,,N/A
, Liam , King ,liam.king@hotmail.com,(568) 920-8577,01-06-2023,,,N/A,N/A
209.0,Rita, Brown ,rita.brown@gmail.com,,2023-11-14,australia,unknown,78082,N/A
,alice,DAVIS,alice.davis@yahoo.com,+1-907-583-8785,2019-09-25,Canada,thirty,22678,
211.0,charlie,wilson,charlie.wilson@yahoo.com,4594434081,"Jan 24, 2017",Germany,thirty,,N/A
,Bob,lee,bob.lee@mail.com,+1-376-512-3250,"Jun 06, 2019",USA,,N/A,
213.0,Diana,Brown,diana.brown@hotmail.com,(554) 295-6835,06-11-2018,England,unknown,N/A,N/A
,Eve,williams,eve.williams@yahoo.com,+1-379-882-4422,"Sep 03, 2016",USA,thirty,$116717,N/A
215.0, karen ,YOUNG,karen.young@example.com,8362449274,22/09/2019,Germany,85,118296,1619
,Grace,wilson,grace.wilson@hotmail.com,,29/06/2025,Germany,thirty,$82557,points
217.0,Mike, Jones ,mike.jones@mail.com,(534) 451-3230,31/07/2022,United Kingdom,,89137,points
218.0,Paul,Hall,paul.hall@yahoo.com,,2022-03-14,United Kingdom,thirty,N/A,1971
219.0,paul, Wilson ,paul.wilson@example.com,+1-925-342-7171,"Apr 19, 2017",france,thirty,110962,
220.0, Alice , Jones ,alice.jones@hotmail.com,(202) 877-2607,20/06/2022,CA,thirty,$44876,N/A
221.0,liam,walker,liam.walker@gmail.com,,2018-12-31,France,-5,$36749,N/A
,Bob,walker,bob.walker@hotmail.com,,"Mar 21, 2021",,,75556,N/A
,Nancy,King,nancy.king@hotmail.com,(623) 397-7853,2015-04-05,United Kingdom,16,N/A,
224.0,Nancy,JOHNSON,nancy.johnson@mail.com,+1-608-188-1189,05/01/2019,UK,,,points
, Ivy ,martin,ivy.martin@hotmail.com,+1-199-250-6527,03-04-2022,U.S.,72,59839,N/A
226.0,nancy, King ,nancy.king@example.com,(866) 111-4104,02/11/2021,Canada,63,N/A,points
,Jack,garcia,jack.garcia@gmail.com,,2025-10-17,United Kingdom,unknown,$77791,N/A
228.0,FRANK,smith,frank.smith@yahoo.com,+1-526-885-6922,2016-05-04,Germany,15,N/A,N/A
229.0,paul, Lewis ,paul.lewis@gmail.com,(995) 146-8412,01/08/2019,UK,-5,N/A,1650
230.0,Grace,Hernandez,grace.hernandez@gmail.com,(380) 813-4166,02-12-2022,France,unknown,$92933,
,JACK,Williams,jack.williams@hotmail.com,3282516462,22/10/2018,UK,thirty,20165,
232.0,BOB,Williams,bob.williams@mail.com,(217) 161-2995,11-22-2017,UK,55,N/A,
233.0,Jack,WILSON,jack.wilson@gmail.com,,11-22-2018,France,thirty,93519,points
234.0,Tina,garcia,tina.garcia@yahoo.com,+1-418-949-4023,12-26-2018,U.S.,unknown,$40213,points
,Sam, Clark ,sam.clark@example.com,(798) 885-5528,11-27-2023,CA,-5,,
236.0, Paul , Allen ,paulallen@examplecom,+1-567-330-8275,"Apr 19, 2021",U.S.,thirty,104244,N/A
237.0,Tina,WILSON,tina.wilson@hotmail.com,+1-825-741-4915,2017-07-04,UK,thirty,,3336
238.0,QUINN,Allen,quinn.allen@example.com,+1-694-243-6015,2023-05-12,CA,thirty,$56603,points
,Diana,RODRIGUEZ,diana.rodriguez@yahoo.com,,"Aug 12, 2022",USA,-5,N/A,points
, Jack ,Wilson,jack.wilson@example.com,5432210145,10/03/2015,U.S.,unknown,77830,points
241.0,NANCY,Miller,nancy.miller@mail.com,(734) 113-6910,2022-01-17,france,,,N/A
,QUINN,hernandez,quinnhernandez@hotmailcom,,2020-09-30,United Kingdom,thirty,N/A,3592
243.0,Alice, Jones ,alice.jones@gmail.com,,2025-09-20,france,unknown,$94315,points
, Bob ,garcia,bob.garcia@example.com,+1-979-337-1890,13/03/2025,UK,78,,
, Oscar ,Walker,oscar.walker@yahoo.com,,2020-10-11,England,thirty,52469,
246.0,ivy, martin ,ivy.martin@hotmail.com,,"Aug 31, 2023",United States,80,,points
,JACK,davis,jack.davis@example.com,+1-986-391-4608,"May 19, 2016",United States,,N/A,511
248.0, Rita ,Wilson,rita.wilson@example.com,5656373172,05/10/2019,australia,78,,N/A
249.0,Hank, Wilson ,hank.wilson@yahoo.com,,26/05/2021,England,unknown,$41753,N/A
250.0, Quinn ,SMITH,quinnsmith@hotmailcom,,08-01-2017,Canada,32,,points
251.0,karen,MILLER,karen.miller@yahoo.com,+1-168-529-1908,2021-12-13,United Kingdom,-5,35276,
252.0, Alice ,DAVIS,alice.davis@yahoo.com,+1-266-230-7431,11-19-2016,United States,thirty,104007,3672
,rita,Garcia,rita.garcia@yahoo.com,(800) 504-9390,2024-08-30,England,-5,$92097,points
254.0,ALICE,GARCIA,alice.garcia@hotmail.com,+1-562-587-4409,23/08/2021,Germany,unknown,92892,
,Paul,johnson,paul.johnson@gmail.com,3766673340,2021-11-27,England,52,,107
,Liam,Brown,liam.brown@gmail.com,(961) 765-6627,2023-01-31,United Kingdom,unknown,$40456,points
257.0,QUINN,Hall,quinn.hall@gmail.com,1436686437,27/10/2018,Australia,unknown,59000,points
258.0,diana,Miller,diana.miller@hotmail.com,(217) 183-2792,"Feb 08, 2016",australia,unknown,38402,3321
, Bob ,Brown,bob.brown@yahoo.com,(819) 151-4225,10-04-2017,United States,-5,68255,N/A
260.0, Bob , Allen ,bob.allen@hotmail.com,,2024-02-02,Australia,,$33273,N/A
,Nancy,Clark,nancyclark@examplecom,+1-815-296-3183,01-02-2025,France,unknown,$42796,
262.0,ALICE,Martin,alice.martin@hotmail.com,+1-625-716-9292,2016-03-28,Australia,-5,N/A,2896
,JACK,Wilson,jack.wilson@gmail.com,+1-811-642-7670,05/08/2016,UK,unknown,,3740
264.0,frank,Garcia,frank.garcia@example.com,,"Mar 17, 2017",CA,-5,$53192,N/A
265.0,Ivy,hall,ivy.hall@yahoo.com,+1-615-433-9916,"Mar 22, 2019",france,,$66762,points
, Quinn ,williams,quinn.williams@hotmail.com,9858251292,01-10-2021,,34,N/A,2257
,bob,Miller,bob.miller@example.com,+1-859-377-3249,07-26-2016,USA,,$57886,
268.0,Rita,LEWIS,ritalewis@hotmailcom,,02/04/2024,United Kingdom,thirty,N/A,
269.0,IVY,HALL,ivy.hall@hotmail.com,,07-22-2020,USA,-5,62796,points
, Tina ,lewis,tina.lewis@example.com,,"Sep 19, 2022",U.S.,-5,,
271.0,Liam,JOHNSON,liam.johnson@example.com,8582307919,03-17-2020,U.S.,thirty,,
272.0,alice,Johnson,alice.johnson@gmail.com,+1-648-330-6167,"Jan 03, 2020",United Kingdom,72,91080,4993
273.0,Bob,jones,bob.jones@mail.com,,"Nov 29, 2023",Canada,,102091,
274.0,oscar,Garcia,oscar.garcia@mail.com,(752) 416-8420,07-18-2019,Canada,unknown,78417,926
275.0, Bob ,LEWIS,bob.lewis@yahoo.com,(401) 126-8441,2025-07-23,,-5,N/A,
276.0,Diana,Williams,diana.williams@yahoo.com,1880230539,"Sep 14, 2016",,-5,N/A,2491
277.0,quinn,martin,quinn.martin@gmail.com,,2023-04-30,France,unknown,N/A,
